Ticker,Name,Market,Timeframe,Strategy,Trades,WinRate%,TotalRet%,AvgRet%,ProfitFactor,MDD%,Sharpe,_tr
005930,삼성전자,KR,15m,FVG+OB,215,64.7,26.144,0.1216,1.354,-9.479,0.1022,26.144
005930,삼성전자,KR,15m,FVG+OB★,70,57.1,12.394,0.1771,1.558,-7.119,0.169,12.394
005930,삼성전자,KR,15m,S01_EMA9_21,29,48.3,-0.631,-0.0218,0.973,-13.163,-0.0103,-0.631
005930,삼성전자,KR,15m,S02_EMA20_50,11,45.5,-1.575,-0.1431,0.862,-4.001,-0.0584,-1.575
005930,삼성전자,KR,15m,S03_GoldenCross,4,75.0,2.569,0.6423,2.607,-1.598,0.323,2.569
005930,삼성전자,KR,15m,S04_SuperTrend,10,50.0,3.93,0.393,1.667,-4.702,0.196,3.93
005930,삼성전자,KR,15m,S05_HullMA,47,55.3,42.467,0.9035,2.5,-8.025,0.2953,42.467
005930,삼성전자,KR,15m,S06_Ichimoku,26,50.0,12.236,0.4706,2.391,-1.636,0.3001,12.236
005930,삼성전자,KR,15m,S07_RSI_Trend,54,38.9,1.426,0.0264,1.043,-16.888,0.0127,1.426
005930,삼성전자,KR,15m,S08_RSI_Rev,14,71.4,9.907,0.7076,3.558,-2.663,0.4957,9.907
005930,삼성전자,KR,15m,S09_MACD,50,42.0,-7.151,-0.143,0.865,-18.757,-0.0502,-7.151
005930,삼성전자,KR,15m,S10_MACDHist,50,42.0,-7.151,-0.143,0.865,-18.757,-0.0502,-7.151
005930,삼성전자,KR,15m,S11_BB_Break,50,36.0,-12.061,-0.2412,0.577,-15.86,-0.167,-12.061
005930,삼성전자,KR,15m,S12_BB_Rev,18,44.4,2.948,0.1638,1.237,-4.781,0.0965,2.948
005930,삼성전자,KR,15m,S13_ATR_Break,43,37.2,-3.455,-0.0803,0.751,-5.401,-0.1111,-3.455
005930,삼성전자,KR,15m,S14_Donchian,18,44.4,-6.18,-0.3433,0.614,-8.986,-0.1751,-6.18
005930,삼성전자,KR,15m,S15_ZScore,28,57.1,2.162,0.0772,1.12,-10.83,0.0451,2.162
005930,삼성전자,KR,15m,S16_SMA_Rev,7,28.6,-4.238,-0.6055,0.448,-2.867,-0.3605,-4.238
005930,삼성전자,KR,15m,S17_FVG,47,40.4,-10.603,-0.2256,0.768,-26.621,-0.0905,-10.603
005930,삼성전자,KR,15m,S19_Monday,10,60.0,0.502,0.0502,1.063,-4.369,0.0254,0.502
